long,lat,addr,city,state,zip,url,beds,baths,sqft,date,price
-1,-1,311 37th St,Pittsburgh,PA,15201,https://www.homes.com/property/311-37th-st-pittsburgh-pa-15201/id-400022878290/,3,1,1720,1900,184591
-1,-1,315 37th St,Pittsburgh,PA,15201,https://www.homes.com/property/315-37th-st-pittsburgh-pa-15201/id-400032839337/,4,2,2160,1900,212303
-1,-1,316 Service Way,Pittsburgh,PA,15201,https://www.homes.com/property/316-service-way-pittsburgh-pa-15201/id-400022876958/,1,1,1122,1900,235868
-1,-1,319 37th St,Pittsburgh,PA,15201,https://www.homes.com/property/319-37th-st-pittsburgh-pa-15201/id-400022878294/,4,1,2040,1900,221802
-1,-1,321 39th St,Pittsburgh,PA,15201,https://www.homes.com/property/321-39th-st-pittsburgh-pa-15201/id-400022878399/,3,2,1823,1900,236222
-1,-1,323 39th St,Pittsburgh,PA,15201,https://www.homes.com/property/323-39th-st-pittsburgh-pa-15201/id-400022878398/,2,2,1908,1900,131434
-1,-1,335 37th St,Pittsburgh,PA,15201,https://www.homes.com/property/335-37th-st-pittsburgh-pa-15201/id-400022878348/,2,1,1944,1900,165044
-1,-1,3432 Ligonier St,Pittsburgh,PA,15201,https://www.homes.com/property/3432-ligonier-st-pittsburgh-pa-15201/id-400022878236/,3,2,2688,1900,163670
-1,-1,3439 Ligonier St,Pittsburgh,PA,15201,https://www.homes.com/property/3439-ligonier-st-pittsburgh-pa-15201/id-400022878231/,3,2,2402,1900,248911
-1,-1,3445 Ligonier St,Pittsburgh,PA,15201,https://www.homes.com/property/3445-ligonier-st-pittsburgh-pa-15201/id-400022878230/,2,1,1344,1925,161358
-1,-1,3447 Ligonier St,Pittsburgh,PA,15201,https://www.homes.com/property/3447-ligonier-st-pittsburgh-pa-15201/id-400022878229/,2,1,1260,1925,218666
-1,-1,3453 Spring Way,Pittsburgh,PA,15201,https://www.homes.com/property/3453-spring-way-pittsburgh-pa-15201/id-400022878225/,2,2,1230,1900,125728
-1,-1,3457 Ligonier St,Pittsburgh,PA,15201,https://www.homes.com/property/3457-ligonier-st-pittsburgh-pa-15201/id-400022878222/,3,1,1280,1900,205041
-1,-1,3462 Ligonier St,Pittsburgh,PA,15201,https://www.homes.com/property/3462-ligonier-st-pittsburgh-pa-15201/id-400022878243/,3,1,1246,1900,248171
-1,-1,3464 Ligonier St,Pittsburgh,PA,15201,https://www.homes.com/property/3464-ligonier-st-pittsburgh-pa-15201/id-400022878261/,3,3,2176,1900,362725
-1,-1,3497 Denny St,Pittsburgh,PA,15201,https://www.homes.com/property/3497-denny-st-pittsburgh-pa-15201/id-400022878278/,3,1,1244,1900,170756
-1,-1,3506 Penn Ave,Pittsburgh,PA,15201,https://www.homes.com/property/3506-penn-ave-pittsburgh-pa-15201/id-400022878213/,4,3,1782,2005,393534
-1,-1,3512 Penn Ave,Pittsburgh,PA,15201,https://www.homes.com/property/3512-penn-ave-pittsburgh-pa-15201/id-400022878215/,3,2,1729,2005,238842
-1,-1,3644 Penn Ave 205,Pittsburgh,PA,15201,https://www.homes.com/property/3644-penn-ave-205-pittsburgh-pa-15201/id-400033834647/,2,1,1008,2012,365000
-1,-1,3732 Woolslayer Way,Pittsburgh,PA,15201,https://www.homes.com/property/3732-woolslayer-way-pittsburgh-pa-15201/id-400022878425/,3,1,1200,1900,156569
-1,-1,3812 Howley St,Pittsburgh,PA,15201,https://www.homes.com/property/3812-howley-st-pittsburgh-pa-15201/id-400022878544/,2,1,1080,1900,284032
