label,prediction
133164,138997.688517
99988,86888.3398331
275614,245575.210649
261499,107651.608673
119465,148604.987237
262290,222722.559635
169837,87926.4806474
77001,53736.8026694
86646,63472.3319803
115713,207991.75629
101688,128585.282303
79478,166172.886786
116562,100716.968625
87719,43940.2138535
141926,132248.285644
202271,248047.614703
354516,220536.116917
105321,82209.8880154
98866,175192.357671
134340,77340.7945723
344337,306138.573727
217290,170728.470946
120781,82680.4520848
66212,189434.868639
135981,60619.920253
232856,278887.911823
151963,216336.199111
228479,269952.061386
119869,88180.9024111
111112,181851.287233
594711,321242.970965
43355,37124.2803354
101636,84869.2010352
100588,103252.72026
87221,126025.570685
110261,200483.646168
131194,58109.7733212
84834,131171.974571
142391,187974.191608
676403,363887.952107
120086,91753.24458
145937,186745.53714
169814,140455.6643
119731,84447.3399334
142542,75148.8007112
85623,138539.968046
612945,289981.517654
226213,204834.56921
244596,317374.415887
148968,189559.364586
173281,191781.883547
377315,250709.630996
104822,128217.238661
159348,174841.811519
145791,198366.950856
124848,83572.1160492
99554,161750.100738
172942,169233.081937
871097,462765.709246
102889,72688.332669
75716,59192.5557854
139496,202652.535885
734607,510129.033159
48530,99149.9144126
64317,200847.349927
135497,90953.6968723
244231,256717.02273
81259,166793.655156
113999,78264.1293057
62624,99439.5228616
339524,315142.635739
362088,306024.428834
134758,286432.083867
77392,68446.2821064
147201,199369.091195
129636,183049.570278
132763,117764.752649
150843,124915.676576
134370,231173.239837
104179,140337.896409
145003,255773.93043
220890,152498.259508
133770,131407.477208
151404,193465.18528
89728,154088.106816
98898,147433.101737
470371,122006.109454
141038,109916.677894
106125,131617.972227
200865,237769.04084
305875,262892.398291
174645,96928.5129155
451898,356657.759564
80267,60626.0219696
130879,172051.110869
132809,72484.0141168
244049,256768.561321
206761,236319.110524
229416,214232.84507
87900,103630.204997
63669,56982.9207848
548862,383029.439759
123388,106602.830858
467884,330888.399461
85149,60913.1202529
87891,133130.165815
135397,211351.932532
78788,74466.5757113
74739,74268.3418954
155029,190088.49882
94624,79297.6932535
157088,220527.473718
104417,220402.036649
150805,94716.6978984
277613,213829.600805
236027,204440.882112
191194,120003.058281
63712,173945.912502
476965,349375.416797
87555,106207.241067
131580,165018.345074
215501,248257.079473
113935,108547.586535
81364,78019.9381922
84359,103310.872518
145646,255067.885782
183470,152635.66769
112862,109834.884258
302215,313559.540096
346176,221493.480342
105142,149374.242773
436837,505118.772487
72651,121475.368901
253931,212937.872265
80855,150351.755459
59145,116510.256296
555448,456114.215172
169100,146220.642877
98761,247076.094023
457962,402169.332826
129969,159048.278036
153569,128851.922697
148659,90035.1423784
181680,103460.222742
108738,53960.1995762
127932,92265.0361482
107485,116146.705025
311579,246249.88798
125063,111466.070441
110853,91725.2843305
148847,214719.850641
100784,98861.2544435
102184,194593.56552
353938,344198.954174
118697,116723.070685
197450,179152.204539
182608,172769.9889
61387,73181.6567868
112904,128819.004032
130002,183626.332054
192486,281498.854508
409949,352383.702361
203255,313577.143076
78536,76936.06828
134552,109870.439009
78310,100059.290305
325631,515880.826955
142901,161599.481892
173459,206752.218761
155324,125721.739731
311627,260764.311493
196693,244532.074657
126030,102328.3846
133050,106399.96751
116755,96155.0875871
112828,105414.230105
79951,60536.1078817
119466,96591.122118
69143,128477.884962
82194,62033.6366718
162310,82929.7310197
180425,212610.24856
295168,314332.445175
438039,474798.12952
186068,92758.0210784
107712,210592.442733
155573,163473.133573
144045,160515.138371
86531,66173.1983575
90870,43266.1700597
141212,129918.268012
37032,121317.104113
925702,660991.306091
165297,109524.290841
248327,274292.546744
72998,227557.501384
129921,138642.756086
425464,315895.694626
225712,233500.520491
304043,292057.958388
141997,89558.9810426
385694,517610.830766
138442,150790.023553
187532,173487.232571
85462,59569.5695296
95216,118469.829747
257698,194692.752666
319290,329161.70735
61390,65401.1165973
123388,227460.609106
90581,59276.577704
132623,169548.003764
120436,93926.3013077
69854,37124.2803354
56006,144002.898769
51918,81877.3970927
91308,166648.045613
148713,111141.090237
271871,287783.601074
274203,300116.01031
215641,224964.294882
267530,293327.323375
49924,113925.700414
97263,59550.5181413
173257,167701.000857
90525,114875.358286
136451,140514.795566
87764,62601.6848916
141709,202729.021268
576927,358651.334347
576927,358651.334347
576927,358651.334347
576927,358651.334347
576927,358651.334347
576927,358651.334347
599782,329080.290796
599782,329080.290796
599782,329080.290796
425545,734745.977703
120377,249493.897666
276196,214547.916117
89469,94683.092024
105013,113917.877715
772080,481749.353626
81378,58146.6092596
206162,148137.394394
109096,119850.967922
241617,277909.963567
133967,218309.873022
189768,218336.613282
160879,149204.384265
197114,204637.383784
197880,168422.915798
390083,404467.213244
172463,282235.609277
178069,144228.673814
146940,72791.3192971
74419,56708.8347046
613687,367853.538475
158771,184526.460002
220295,265617.814956
132424,112022.277925
109362,161405.102242
373491,278636.318668
152801,73149.5265856
130608,243546.452351
147436,196277.45678
470071,453984.058506
69247,176647.966348
335342,349837.774575
504073,340213.364518
130489,117536.122423
69638,107628.772904
241711,200467.04925
48531,76866.6111978
302093,265623.383773
216505,99717.3740833
161459,144081.723939
107879,285445.711793
174230,242348.208772
185708,114286.74541
225933,288708.808149
128119,165009.62794
551663,389141.945034
103254,116204.684409
95218,83710.2283993
159431,139802.13742
207452,157559.494205
93501,131231.243379
105167,137118.079545
148865,153784.930885
130647,178578.359357
83354,81580.1987781
175160,445754.471503
80146,55598.1575864
145431,142517.92835
104756,84326.1001219
156866,198572.634209
85944,119450.361793
90593,59682.7106938
73656,239467.43343
461719,480373.991787
131516,126045.549235
278558,325453.16572
67494,172290.875173
197084,175713.468345
265513,222722.559635
79598,69259.9413885
199068,152708.164849
131754,60238.1010712
47147,39145.1775109
207942,258480.391691
242417,243180.238168
393448,303906.858273
135964,218989.684848
138423,187272.812511
248781,278257.336941
272343,388537.666726
391617,329569.009561
103687,150856.638586
79305,142275.156172
113232,104835.19478
86423,105222.150008
103349,106733.956031
139705,106340.04896
78088,101698.769509
142724,99049.5538878
36245,173012.711103
114315,110855.044406
57083,82682.2862997
61721,26221.3748324
96176,76761.9344177
453011,363357.345442
254500,290012.562444
76024,165655.810866
222671,193236.324397
200271,254636.141234
725440,575407.999987
101322,69745.5073687
139221,204138.444208
328256,287023.822839
129782,156502.778408
82152,112680.090385
227023,151221.943708
122118,41268.4999605
200511,98961.4298651
145891,82400.101291
154371,117843.770185
242335,429227.871869
77556,184933.535078
392236,279363.65402
107824,141172.244647
212652,326714.065378
141973,182714.86432
118886,147188.776442
307105,175677.820018
325136,248381.559617
318420,314409.800641
305624,373647.767065
316997,275967.099586
243371,256805.858544
162136,202170.082357
139575,283720.096715
136010,144152.546819
286264,182512.532703
324777,297833.057467
109752,154157.087227
215633,241697.555153
165422,172754.126472
199001,223589.004776
269009,273347.176744
108258,133428.384317
244832,276350.16698
521174,247422.172065
170802,225131.772143
111090,84171.7353004
203404,195909.617615
257805,191159.819518
139590,133107.122871
463464,269662.037144
184795,157039.408012
95379,122902.339392
136487,126466.577131
709464,328429.071992
94611,117115.061504
158395,342406.633494
239356,262260.74503
189970,257171.150342
262473,304276.882453
99115,96928.7371291
359341,441913.184234
434885,393296.356913
225384,216434.14117
120970,138054.602652
135556,128921.624114
470550,330006.893667
280357,200043.381947
120547,102443.422293
114526,86041.7314635
63022,51201.208012
63018,91741.3101848
122603,191380.392749
52719,100158.377077
140139,102518.27747
164739,153421.101029
118504,103386.95068
362614,188194.944325
113432,140034.384187
144961,116210.723491
206614,105556.480083
142276,145438.776603
143452,178032.062935
68666,83821.391038
127672,100236.908198
133861,155246.691335
105917,83280.0067963
141043,103449.144132
525497,476766.4676
115447,83115.3228874
55241,179515.90551
63708,98351.903754
61543,87275.7926454
102864,106696.641479
244697,217438.871562
153030,286509.058775
325987,309574.694986
97693,206039.247168
305608,388766.992398
321841,329731.316501
69470,71585.1346367
123014,125732.090104
74474,141200.711571
98880,138647.372374
62939,78717.3850232
381434,326871.833483
162478,130393.150284
197226,201764.546532
94351,158243.320096
84758,111425.033454
132623,79011.1242296
212833,280551.167539
61579,111228.580805
176129,83480.5392432
99098,141683.472547
137989,330731.035459
312310,293783.231159
52559,94990.3370852
273393,330615.615801
128960,113058.396413
139124,131387.838623
147218,327957.462601
255676,195279.11493
185765,308155.931628
43770,225913.919941
373680,340860.402501
170131,158259.862029
115687,83787.3630845
116493,128944.871044
210348,310958.728722
737577,1085221.97213
66329,95472.8522339
128898,192410.978378
143154,226546.881655
247962,372432.838851
90204,59569.5695296
279463,319375.815798
97975,47132.4636332
185531,156627.636555
143471,205194.947865
76324,75692.9672681
1156876,439483.273769
88190,49772.4300948
274015,133747.269048
96027,178887.27505
494850,366763.544235
108865,133496.946967
330262,228852.477037
313251,295763.50184
264900,171048.061618
186979,181506.360997
137003,46635.9749753
142606,82910.9559523
54235,104626.074359
90122,83821.391038
130344,179828.204407
79016,90966.6061649
152399,168639.292141
147962,149184.705896
158901,210441.364865
80879,135494.533437
214686,155222.475219
69467,107614.931304
121247,157078.599738
74819,88131.9968645
78414,84834.6768791
332315,336633.879714
99236,118304.557436
91130,159168.498547
42370,73410.5211112
128387,190353.880987
114310,204725.916201
355798,412869.672961
48555,127917.420984
161290,98917.9510954
70626,89722.6392591
119538,116045.756033
180589,147467.69773
217348,368611.666437
44523,22622.2307839
264987,335770.083502
100947,123515.148904
159543,129975.518068
447576,374716.787966
87306,87499.2015732
168109,88814.8149797
264663,265054.549535
99463,113483.714519
202257,361446.438353
79581,108437.767029
200682,235288.266499
187237,266887.09583
169105,280926.257152
149293,140170.605504
44726,2926.75080382
152472,166327.287599
150433,133495.497282
96383,127576.213234
231134,221447.909772
127048,154233.557328
417305,347958.266856
122756,56380.2807634
118416,182677.740248
205364,296266.994443
140452,174610.393339
156356,164144.6466
66522,21593.5543475
