"Address",Latitude,Longitude
"5274 Duncan St, Pittsburgh, PA 15201",40.479804,-79.949512
"5320 Lotus Way, Pittsburgh, PA 15201",40.480507,-79.949064
"5329 Holmes St, Pittsburgh, PA 15201",40.481111,-79.949381
"5421 Camelia St, Pittsburgh, PA 15201",40.480031,-79.946256
"5435 Camelia St, Pittsburgh, PA 15201",40.480161,-79.945932
"5540 Camelia St, Pittsburgh, PA 15201",40.480999,-79.944387
"5602 Celadine St, Pittsburgh, PA 15201",40.481783,-79.944777
"616 Kendall St, Pittsburgh, PA 15201",40.481764,-79.94802
"836 Oranmore St, Pittsburgh, PA 15201",40.474406,-79.937482
"846 Oranmore St, Pittsburgh, PA 15201",40.474622,-79.937503
"265 40th St, Pittsburgh, PA 15201",40.467201,-79.96009
"280 39th St, Pittsburgh, PA 15201",40.465525,-79.961521
"288 39th St, Pittsburgh, PA 15201",40.465366,-79.961334
"289 40th St, Pittsburgh, PA 15201",40.466865,-79.959614
"290 Fisk St, Pittsburgh, PA 15201",40.467116,-79.959107
"300 39th St, Pittsburgh, PA 15201",40.465063,-79.960931
"304 39th St, Pittsburgh, PA 15201",40.464959,-79.960812
"304 Main St, Pittsburgh, PA 15201",40.467304,-79.957783
"316 Main St, Pittsburgh, PA 15201",40.46712,-79.957517
"345 Fisk St, Pittsburgh, PA 15201",40.466173,-79.957336
"3501 Leech St, Pittsburgh, PA 15201",40.464472,-79.965483
"3509 Leech St, Pittsburgh, PA 15201",40.464597,-79.965402
"3518 Leech St, Pittsburgh, PA 15201",40.464699,-79.965028
"367 Main St, Pittsburgh, PA 15201",40.466302,-79.955739
"369 Main St, Pittsburgh, PA 15201",40.466155,-79.95564
"4000 Arsenal Pl, Pittsburgh, PA 15201",40.466224,-79.958986
"4003 Arsenal Pl, Pittsburgh, PA 15201",40.466472,-79.959147
"4010 Arsenal Pl, Pittsburgh, PA 15201",40.466419,-79.95875
"4011 Arsenal Pl, Pittsburgh, PA 15201",40.466604,-79.958962
"4021 Arsenal Pl, Pittsburgh, PA 15201",40.466766,-79.958713
"4202 Calvin St, Pittsburgh, PA 15201",40.466306,-79.954802
"4203 Calvin St, Pittsburgh, PA 15201",40.466518,-79.954976
"4205 Calvin St, Pittsburgh, PA 15201",40.466534,-79.954915
"4205 Post St, Pittsburgh, PA 15201",40.466958,-79.9555
"4206 Geneva St, Pittsburgh, PA 15201",40.467103,-79.955587
"4207 Post St, Pittsburgh, PA 15201",40.466991,-79.955435
"4208 Calvin St, Pittsburgh, PA 15201",40.466338,-79.954668
"4208 Geneva St, Pittsburgh, PA 15201",40.467138,-79.955506
"4209 Post St, Pittsburgh, PA 15201",40.467038,-79.955402
"4210 Calvin St, Pittsburgh, PA 15201",40.466355,-79.954618
"4211 Post St, Pittsburgh, PA 15201",40.467096,-79.955282
"4213 Post St, Pittsburgh, PA 15201",40.467132,-79.955238
"4220 Calvin St, Pittsburgh, PA 15201",40.466383,-79.954338
"4220 Post St, Pittsburgh, PA 15201",40.467046,-79.954932
"4222 Post St, Pittsburgh, PA 15201",40.467078,-79.954845
"4223 Calvin St, Pittsburgh, PA 15201",40.466644,-79.954335
"4225 Calvin St, Pittsburgh, PA 15201",40.466741,-79.954272
"445 42nd St, Pittsburgh, PA 15201",40.466659,-79.955238
"447 42nd St, Pittsburgh, PA 15201",40.466656,-79.955145
"4902 Hatfield St, Pittsburgh, PA 15201",40.477545,-79.957413
"4924 Hatfield St, Pittsburgh, PA 15201",40.477989,-79.956899
"4926 Hatfield St, Pittsburgh, PA 15201",40.478037,-79.956841
"1024 Premier St, Pittsburgh, PA 15201",40.483698,-79.941523
"1030 Premier St, Pittsburgh, PA 15201",40.483648,-79.941311
"1034 Premier St, Pittsburgh, PA 15201",40.483555,-79.941196
"1113 Premier St, Pittsburgh, PA 15201",40.483169,-79.939491
"1120 Fairfield St, Pittsburgh, PA 15201",40.484072,-79.938466
"1138 Fairfield St, Pittsburgh, PA 15201",40.483855,-79.937891
"130 43rd St, Pittsburgh, PA 15201",40.471969,-79.96251
"1342 Woodbine St, Pittsburgh, PA 15201",40.48271,-79.937975
"1343 Simona Dr, Pittsburgh, PA 15201",40.48261,-79.937611
"1360 Woodbine St, Pittsburgh, PA 15201",40.483091,-79.937699
"1369 Simona Dr, Pittsburgh, PA 15201",40.483234,-79.937087
"1527 Woodbine St, Pittsburgh, PA 15201",40.48627,-79.936354
"183 34th St, Pittsburgh, PA 15201",40.463057,-79.967867
"187 34th St, Pittsburgh, PA 15201",40.463013,-79.967756
"189 34th St, Pittsburgh, PA 15201",40.462995,-79.967727
"214 57th St, Pittsburgh, PA 15201",40.484125,-79.945474
"216 57th St, Pittsburgh, PA 15201",40.484153,-79.945381
"224 57th St, Pittsburgh, PA 15201",40.483919,-79.945114
"226 57th St, Pittsburgh, PA 15201",40.483831,-79.945148
"232 57th St, Pittsburgh, PA 15201",40.483733,-79.944922
"234 57th St, Pittsburgh, PA 15201",40.483652,-79.944944
"248 57th St, Pittsburgh, PA 15201",40.483278,-79.944605
"309 Donson Way, Pittsburgh, PA 15201",40.484231,-79.947637
"312 57th St, Pittsburgh, PA 15201",40.482755,-79.943873
"322 57th St, Pittsburgh, PA 15201",40.482564,-79.943628
"3436 Penn Ave, Pittsburgh, PA 15201",40.46337,-79.965776
"3511 Butler St, Pittsburgh, PA 15201",40.464378,-79.966317
"3605 Penn Ave, Pittsburgh, PA 15201",40.464449,-79.963721
"4399 Stanton Ave, Pittsburgh, PA 15201",40.482276,-79.94059
"4415 Stanton Ave, Pittsburgh, PA 15201",40.482097,-79.939931
