city,state,population_density,population_trend,lat,lon
Huntington Beach,California,"7,459",+5.61%,33.6906,-118.0093
Montgomery,Alabama,"1,252",-2.79%,32.3472,-86.2661
Amarillo,Texas,"1,968",+4.66%,35.1999,-101.8302
Little Rock,Arkansas,"1,673",+2.59%,34.7254,-92.3586
Akron,Ohio,"3,188",-0.74%,41.0805,-81.5214
Columbus,Georgia,913,+4.00%,32.5102,-84.8749
Augusta,Georgia,652,+0.63%,33.3655,-82.0734
Grand Rapids,Michigan,"4,424",+4.47%,42.9612,-85.6556
Shreveport,Louisiana,"1,820",-2.20%,32.4669,-93.7922
Salt Lake City,Utah,"1,742",+3.92%,40.7769,-111.931
Huntsville,Alabama,905,+7.20%,34.699,-86.673
Mobile,Alabama,"1,384",-1.13%,30.6684,-88.1002
Tallahassee,Florida,"1,901",+5.25%,30.4551,-84.2534
Grand Prairie,Texas,"2,637",+8.72%,32.6869,-97.0211
Overland Park,Kansas,"2,516",+8.99%,38.889,-94.6906
Knoxville,Tennessee,"1,891",+4.12%,35.9707,-83.9493
Port St. Lucie,Florida,"1,557",+12.47%,27.2806,-80.3883
Worcester,Massachusetts,"4,933",+1.91%,42.2695,-71.8078
Brownsville,Texas,"1,387",+5.03%,25.9991,-97.455
Tempe,Arizona,"4,562",+12.85%,33.3884,-111.9318
Santa Clarita,California,"3,446",+3.21%,34.403,-118.5042
Newport News,Virginia,"2,631",+0.61%,37.0762,-76.522
Cape Coral,Florida,"1,703",+16.53%,26.6432,-81.9974
Providence,Rhode Island,"9,740",+0.66%,41.8231,-71.4188
Fort Lauderdale,Florida,"5,166",+7.99%,26.1412,-80.1467
Chattanooga,Tennessee,"1,241",+5.90%,35.066,-85.2484
Rancho Cucamonga,California,"4,413",+6.82%,34.1233,-117.5642
Oceanside,California,"4,249",+5.01%,33.2245,-117.3062
Santa Rosa,California,"4,241",+4.37%,38.4468,-122.7061
Garden Grove,California,"9,714",+2.33%,33.7788,-117.9605
Vancouver,Washington,"3,728",+8.06%,45.6349,-122.5957
Sioux Falls,South Dakota,"2,312",+13.30%,43.5383,-96.732
Ontario,California,"3,471",+5.67%,34.0394,-117.6042
McKinney,Texas,"2,735",+31.41%,33.1985,-96.668
Elk Grove,California,"4,022",+10.93%,38.4146,-121.385
Jackson,Mississippi,"1,524",-2.52%,32.3158,-90.2128
